"docente","materia","nota_media"
75,"SFR4E",7.08
76,"GENERAL",4.48
76,"PIN2E",4.48
77,"BGE3E",5.47
77,"CTM2B",8.75
77,"GENERAL",6.35
77,"IIN3E",6.75
78,"CAV3E",5.15
78,"EPV2E",7.7
78,"GENERAL",6.94
79,"GENERAL",6.03
79,"LEI1BA",6.84
79,"LEI3EA",6.78
79,"PIB1B",7.88
79,"PIB1E",4.83
79,"PIB2B",7.47
79,"PIB2E",7.03
79,"PIB3E",6.94
79,"PIB4E",7.33
79,"PIN1B",4.22
79,"PIN1E",3.26
79,"PIN2B",5.12
79,"PIN2E",4.79
79,"PIN3E",3.71
79,"PIN4E",5.05
80,"ECO4E",6.87
80,"GENERAL",6.87
81,"ECO1B",6.16
81,"EEM2B",4.8
81,"FAG2B",8.44
81,"GENERAL",6.06
84,"GENERAL",4.69
84,"GHI1E",4.9
84,"GHI2E",3.41
84,"HMC1B",4.93
85,"GENERAL",7.03
85,"SFR1E",6.96
85,"SFR2B",8.19
85,"SFR2E",6.65
85,"SFR3E",6.78
86,"EFI1B",7.43
86,"EFI1E",4.11
86,"EFI2E",5.43
86,"EFI4E",6.1
86,"GENERAL",5.29
87,"FIL1B",8.27
87,"GENERAL",6.98
87,"HIF2B",5.71
87,"PSI2B",9.17
87,"VET1E",5.61
87,"VET2E",7.1
87,"VET3E",6.27
87,"VET4E",7.4
87,"VS1SE",0
87,"VS3SE",0
88,"BGE1E",4.36
88,"BGE3E",6.2
88,"GENERAL",5.16
89,"GENERAL",5.12
89,"IIN1E",5.65
89,"TEC1E",4.65
89,"TEC3E",5.11
90,"ATE4EA",7.65
90,"GENERAL",5.88
90,"GHI1E",4.96
90,"GHI2EA",6.19
90,"GHI3E",5.11
90,"GHI3EA",5.88
90,"HMC1B",5.67
91,"GENERAL",3.88
91,"PIN1E",3.88
92,"GENERAL",2.65
92,"PIN2E",2.62
92,"PIN2PM",0.89
92,"PIN3E",3.16
93,"CUA2B",8.59
93,"EPV2E",5.25
93,"GENERAL",6.19
94,"CAA4E",4.77
94,"FIQ1B",5.56
94,"FIQ1BA",5.95
94,"FIQ2E",3.14
94,"FIQ3E",5.01
94,"FIQ3EA",6.3
94,"FIQ4E",6.72
94,"GENERAL",4.99
94,"QUI2B",6.97
95,"GENERAL",4.89
95,"LCL2E",4.89
96,"GENERAL",1
96,"MAT2E",1
97,"GENERAL",5.23
97,"IAE4E",5.23
98,"ECO1B",8.04
98,"ECO4E",8.37
98,"EEM2B",6.44
98,"FAG2B",8.38
98,"GENERAL",7.57
99,"AC1SE",0
99,"AC2SE",0
99,"AC3SE",0
99,"AC4SE",0
99,"AF1SE",0
99,"AF2SE",0
99,"AF3SE",0
99,"AS1SE",0
99,"AS2SE",0
99,"AS3SE",0
99,"AS4SE",0
99,"EF1SE",0
99,"EF2SE",0
99,"EF3SE",0
99,"EF4SE",0
99,"GENERAL",0
99,"VS1SE",0
99,"VS2SE",0
99,"VS3SE",0
99,"VS4SE",0
100,"EA1SE",0
100,"EA2SE",0
100,"EA3SE",0
100,"EA4SE",0
100,"GENERAL",5.38
100,"MUS2E",6.56
101,"GENERAL",5.94
101,"PIB1E",5.94
102,"GENERAL",4.29
102,"MAA3E",5.26
102,"MAA4E",3.4
102,"MAT1E",3.6
102,"MAT2E",4.4
103,"GENERAL",7.06
103,"HIF2B",6.21
103,"PSI2B",8.33
107,"BGE1E",3.4
107,"BGE3E",5.17
107,"GENERAL",4.02
108,"EF1SE",0
108,"EF2SE",0
108,"EF4SE",0
108,"EFI1E",4.62
108,"EFI2E",5.67
108,"EFI4E",7.01
108,"GENERAL",5.59
109,"ATD1EA",0
109,"ATE1EA",8.7
109,"GENERAL",5.98
109,"GHI1E",5.34
109,"GHI1EA",4.98
109,"GHI2E",2.12
109,"GHI2EA",1.48
109,"GHI3E",6.43
109,"GHI3EA",4.15
109,"HES2B",7.05
109,"HES2BA",7
109,"HMC1B",3.83
109,"HMC1BA",3.25
110,"GENERAL",5.16
110,"IIN1E",6.63
110,"ISO2B",7.07
110,"ROB2E",6.19
110,"TEC1E",4.34
110,"TEC3E",4.42
111,"GENERAL",5.5
111,"LCL1E",5.5
112,"GENERAL",5.42
112,"PIB1B",8.33
112,"PIB1E",6.45
112,"PIB2B",7.84
112,"PIB4E",7.01
112,"PIN1B",5.38
112,"PIN1E",3.55
112,"PIN2B",6.62
112,"PIN2E",1.61
112,"PIN3E",3.57
112,"PIN4E",3.89
113,"GENERAL",7.95
113,"RC2SE",0
113,"REC1B",7.43
113,"REC1E",7.49
113,"REC2E",8.12
113,"REC3E",8.51
113,"REC4E",8.66
